Year,Temperature(Degree Celsius)
1961,-0.11
1962,0.822
1963,0.848
1964,-0.626
1965,-0.031
1966,0.604
1967,-0.934
1968,-0.11
1969,0.23
1970,0.187
1971,-0.351
1972,-0.505
1973,-0.479
1974,-0.256
1975,-0.409
1976,-0.573
1977,0.003
1978,-0.077
1979,0.606
1980,-0.204
1981,-0.215
1982,-0.562
1983,-1.068
1984,-0.201
1985,0.017
1986,0.055
1987,-0.294
1988,0.033
1989,-0.173
1990,-0.113
1991,0.396
1992,-1.045
1993,-0.368
1994,0.8
1995,-0.166
1996,0.338
1997,-0.121
1998,0.894
1999,0.9
2000,0.249
2001,0.855
2002,0.728
2003,0.559
2004,0.554
2005,0.196
2006,0.587
2007,0.519
2008,0.722
2009,0.831
2010,2.326
2011,0.581
2012,1.043
2013,1.114
2014,0.863
2015,1.326
2016,1.615
2017,0.735
2018,2.007
2019,1.204
2020,1.455
2021,1.787
2022,1.074
