Year,Temperature(Degree Celsius)
1961,0.211
1962,0.038
1963,0.168
1964,-0.246
1965,-0.223
1966,0.201
1967,-0.117
1968,-0.126
1969,-0.092
1970,0.15
1971,-0.093
1972,-0.199
1973,0.269
1974,-0.181
1975,0.088
1976,-0.314
1977,0.269
1978,0.001
1979,0.226
1980,0.332
1981,0.443
1982,0.086
1983,0.46
1984,0.127
1985,-0.031
1986,0.242
1987,0.403
1988,0.558
1989,0.331
1990,0.639
1991,0.468
1992,0.184
1993,0.348
1994,0.507
1995,0.835
1996,0.355
1997,0.656
1998,0.993
1999,0.783
2000,0.728
2001,0.834
2002,1.021
2003,0.893
2004,0.913
2005,1.095
2006,0.998
2007,1.195
2008,0.935
2009,0.957
2010,1.219
2011,0.921
2012,1.074
2013,1.016
2014,1.053
2015,1.412
2016,1.66
2017,1.429
2018,1.29
2019,1.444
2020,1.711
2021,1.447
2022,1.394
