Year,Temperature(Degree Celsius)
1961,0.029
1962,-0.009
1963,0.169
1964,-0.251
1965,-0.623
1966,0.089
1967,-0.257
1968,-0.252
1969,0.262
1970,0.387
1971,-0.205
1972,0.041
1973,0.328
1974,-0.114
1975,0.026
1976,-0.081
1977,0.394
1978,0.41
1979,0.547
1980,0.83
1981,0.04
1982,-0.044
1983,0.086
1984,0.273
1985,0.527
1986,-0.12
1987,0.012
1988,0.971
1989,0.361
1990,0.457
1991,
1992,
1993,
1994,
1995,
1996,
1997,0.107
1998,
1999,
2000,
2001,
2002,
2003,
2004,
2005,
2006,
2007,
2008,
2009,
2010,
2011,
2012,
2013,
2014,
2015,
2016,
2017,
2018,
2019,
2020,
2021,
2022,
