Year,Temperature(Degree Celsius)
1961,0.228
1962,-0.168
1963,-0.39
1964,-0.279
1965,-0.418
1966,0.3
1967,-0.014
1968,-0.13
1969,0.243
1970,0.351
1971,-0.249
1972,-0.139
1973,0.383
1974,-0.405
1975,-0.127
1976,-0.314
1977,0.51
1978,0.087
1979,0.249
1980,0.138
1981,-0.158
1982,0.34
1983,1.064
1984,0.575
1985,0.206
1986,0.061
1987,0.958
1988,0.627
1989,0.139
1990,0.772
1991,0.166
1992,0.544
1993,-0.117
1994,0.362
1995,0.761
1996,0.393
1997,0.339
1998,0.876
1999,0.064
2000,-0.04
2001,0.263
2002,0.711
2003,0.871
2004,0.606
2005,0.948
2006,0.623
2007,0.78
2008,0.438
2009,0.306
2010,1.21
2011,0.956
2012,0.972
2013,0.79
2014,0.917
2015,1.45
2016,1.401
2017,0.105
2018,0.648
2019,0.855
2020,0.891
2021,0.822
2022,0.686
